,geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,countrycode,cc2,admin1code,admin2code,population,elevation,dem,timezone,modificationdate
0,2747371,'s Gravenmoer,'s Gravenmoer,'s Gravemoer,51.65594,4.94076,P,PPL,NL,,6.0,766.0,2315,,3,Europe/Amsterdam,2017-10-17
1,2747364,'s-Gravenzande,'s-Gravenzande,,52.00167,4.16528,P,PPL,NL,,11.0,1783.0,19190,,3,Europe/Amsterdam,2022-05-12
2,2747357,'s-Heerenberg,'s-Heerenberg,"'s-Heerenberg,s-Heerenberg,s-Kherenberg,с-Херенберг,’s-Heerenberg",51.8767,6.25877,P,PPL,NL,,3.0,1955.0,4720,,16,Europe/Amsterdam,2017-10-17
3,2746369,'t Heechhout,'t Heechhout,,53.16869,5.60062,P,PPL,NL,,2.0,1949.0,0,,-2,Europe/Amsterdam,2019-01-20
4,6544858,'t Herselt,'t Herselt,,51.60917,5.98889,P,PPL,NL,,6.0,1982.0,0,,14,Europe/Amsterdam,2022-09-30
5,2746140,'t Schoor,'t Schoor,"'t Schoor,Het Schoor,It Skoar,Schoor",53.39385,5.98257,P,PPL,NL,,2.0,1970.0,0,,-1,Europe/Amsterdam,2019-01-20
6,2746087,'t Vlut,'t Vlut,,51.30476,5.78542,P,PPL,NL,,5.0,946.0,0,,32,Europe/Amsterdam,2009-01-12
7,2746031,'t Zand,'t Zand,Zand,52.83667,4.75556,P,PPL,NL,,7.0,441.0,2485,,2,Europe/Amsterdam,2017-10-17
8,2760151,Aadorp,Aadorp,,52.37667,6.62917,P,PPL,NL,,15.0,141.0,0,,10,Europe/Amsterdam,2017-10-17
9,2760149,Aagtdorp,Aagtdorp,Aagtdorn,52.69,4.70417,P,PPL,NL,,7.0,373.0,570,,2,Europe/Amsterdam,2017-03-24
10,2760147,Aagtekerke,Aagtekerke,,51.54667,3.50972,P,PPL,NL,,10.0,717.0,1245,,2,Europe/Amsterdam,2017-10-17
11,2760145,Aalbeek,Aalbeek,,50.9,5.85139,P,PPL,NL,,5.0,1954.0,275,,125,Europe/Amsterdam,2019-01-20
12,2760144,Aalburg,Aalburg,"Aalburg,Albjurg,Alburx,Wijk en Aalburg,albrg,albwrkh,Албюрг,Ալբուրխ,آلبرگ,آلبورخ",51.75482,5.13156,P,PPL,NL,,6.0,1959.0,6588,,3,Europe/Amsterdam,2023-03-07
13,2760142,Aalden,Aalden,,52.79,6.71806,P,PPL,NL,,1.0,109.0,1625,,18,Europe/Amsterdam,2017-10-17
14,2760139,Aaldonk,Aaldonk,,51.7125,5.99444,P,PPL,NL,,5.0,907.0,0,,13,Europe/Amsterdam,2007-06-03
15,2760134,Aalsmeer,Aalsmeer,"Aalsmeer,Alsmer,QFA,a er si mei er,Алсмер,阿尔斯梅尔",52.25917,4.75972,P,PPL,NL,,7.0,358.0,22991,,-4,Europe/Amsterdam,2017-10-17
